name,jobtitle,affiliation,webpage
Jon Barron,Senior Staff Research Scientist,Google,https://jonbarron.info/
Maneesh Agrawala,Professor,Stanford,https://graphics.stanford.edu/~maneesh/
Nanxuan (Cherry) Zhao,Research Scientist,Adobe,https://nxzhao.com/
Ishan Misra,Research Scientist,Meta,https://imisra.github.io/
