name,jobtitle,affiliation,webpage
Larry Gritz,Distinguished Engineer,Sony Pictures Imageworks,https://www.linkedin.com/in/larrygritz/
Carl Jarrett,Senior Art Director,Electronic Arts (EA),https://www.linkedin.com/in/carl-jarrett-6979856/
Daryl Anselmo,Art Director / Visual Artist,'On sabbatical' (previously Midwinter),https://www.linkedin.com/in/darylanselmo/
